school,location,url,type
Florida A&M University,Tallahassee,https://en.wikipedia.org/wiki/Florida_A%26M_University,State University System
Florida Atlantic University,Boca Raton,https://en.wikipedia.org/wiki/Florida_Atlantic_University,State University System
Florida Gulf Coast University,Fort Myers,https://en.wikipedia.org/wiki/Florida_Gulf_Coast_University,State University System
Florida International University,Miami,https://en.wikipedia.org/wiki/Florida_International_University,State University System
Florida Polytechnic University,Lakeland,https://en.wikipedia.org/wiki/Florida_Polytechnic_University,State University System
Florida State University,Tallahassee,https://en.wikipedia.org/wiki/Florida_State_University,State University System
New College of Florida,Sarasota,https://en.wikipedia.org/wiki/New_College_of_Florida,State University System
University of Central Florida,Orlando,https://en.wikipedia.org/wiki/University_of_Central_Florida,State University System
University of Florida,Gainesville,https://en.wikipedia.org/wiki/University_of_Florida,State University System
University of North Florida,Jacksonville,https://en.wikipedia.org/wiki/University_of_North_Florida,State University System
University of South Florida,Tampa,https://en.wikipedia.org/wiki/University_of_South_Florida,State University System
University of West Florida,Pensacola,https://en.wikipedia.org/wiki/University_of_West_Florida,State University System
Broward College,Davie,https://en.wikipedia.org/wiki/Broward_College,Florida College System
Chipola College,Marianna,https://en.wikipedia.org/wiki/Chipola_College,Florida College System
College of Central Florida,Ocala,https://en.wikipedia.org/wiki/College_of_Central_Florida,Florida College System
Daytona State College,Daytona Beach,https://en.wikipedia.org/wiki/Daytona_State_College,Florida College System
Eastern Florida State College,Cocoa,https://en.wikipedia.org/wiki/Eastern_Florida_State_College,Florida College System
Florida Gateway College,Lake City,https://en.wikipedia.org/wiki/Florida_Gateway_College,Florida College System
Florida Keys Community College,Key West,https://en.wikipedia.org/wiki/Florida_Keys_Community_College,Florida College System
Florida SouthWestern State College,Fort Myers,https://en.wikipedia.org/wiki/Florida_SouthWestern_State_College,Florida College System
Florida State College at Jacksonville,Jacksonville,https://en.wikipedia.org/wiki/Florida_State_College_at_Jacksonville,Florida College System
Gulf Coast State College,Panama City,https://en.wikipedia.org/wiki/Gulf_Coast_State_College,Florida College System
Hillsborough Community College,Tampa,https://en.wikipedia.org/wiki/Hillsborough_Community_College,Florida College System
Indian River State College,Fort Pierce,https://en.wikipedia.org/wiki/Indian_River_State_College,Florida College System
Lake–Sumter State College,Leesburg,https://en.wikipedia.org/wiki/Lake%E2%80%93Sumter_State_College,Florida College System
Miami Dade College,Miami,https://en.wikipedia.org/wiki/Miami_Dade_College,Florida College System
North Florida Community College,Madison,https://en.wikipedia.org/wiki/North_Florida_Community_College,Florida College System
Northwest Florida State College,Niceville,https://en.wikipedia.org/wiki/Northwest_Florida_State_College,Florida College System
