,county_clean,total_population,median_income,median_home_value,name
1215,Passaic County,5320,136250,494900,Census Tract 2462.02
1214,Passaic County,6237,132500,487200,Census Tract 2462.01
1208,Passaic County,3005,145096,482000,Census Tract 2460.02
1212,Passaic County,6427,142563,472600,Census Tract 2461.03
1213,Passaic County,3078,65167,469300,Census Tract 2461.04
1207,Passaic County,6330,99844,458900,Census Tract 2460.01
1157,Passaic County,2205,112946,444400,Census Tract 1756.01
1216,Passaic County,4114,125156,437300,Census Tract 2462.03
1150,Passaic County,8490,100724,436000,Census Tract 1635
1129,Passaic County,4549,110156,428400,Census Tract 1243.12
1148,Passaic County,6346,78675,423000,Census Tract 1540.01
1210,Passaic County,6803,105775,411200,Census Tract 2461.01
1203,Passaic County,7818,103792,408400,Census Tract 2238.02
1145,Passaic County,6224,108871,404200,Census Tract 1432
1224,Passaic County,6491,78973,395100,Census Tract 2641.02
1209,Passaic County,5643,114263,393400,Census Tract 2460.03
1161,Passaic County,4374,69350,378700,Census Tract 1757.04
1147,Passaic County,7388,81655,363900,Census Tract 1434
1200,Passaic County,6739,112803,358400,Census Tract 2167.01
1149,Passaic County,8147,80464,357900,Census Tract 1540.02
1133,Passaic County,6901,94315,356000,Census Tract 1244.01
1196,Passaic County,3105,24604,352900,Census Tract 1832
1128,Passaic County,4650,97344,352600,Census Tract 1243.11
1225,Passaic County,4500,17288,348600,Census Tract 2642
1127,Passaic County,7177,88813,346600,Census Tract 1242
1130,Passaic County,6005,83821,338600,Census Tract 1243.21
1221,Passaic County,6917,121213,337900,Census Tract 2568.04
1201,Passaic County,5659,116212,337700,Census Tract 2167.02
1131,Passaic County,4407,95968,332600,Census Tract 1243.22
1222,Passaic County,5310,104867,331900,Census Tract 2568.05
1137,Passaic County,5078,59135,331100,Census Tract 1246.02
1134,Passaic County,5198,100481,329100,Census Tract 1244.02
1223,Passaic County,5867,62577,327700,Census Tract 2641.01
1146,Passaic County,5338,82821,327100,Census Tract 1433
1206,Passaic County,7028,87404,322900,Census Tract 2366.02
1202,Passaic County,2526,81010,318300,Census Tract 2238.01
1132,Passaic County,2894,67361,313600,Census Tract 1243.23
1162,Passaic County,4330,31567,308700,Census Tract 1758.01
1126,Passaic County,7995,77049,306800,Census Tract 1165
1152,Passaic County,3369,25542,306500,Census Tract 1753.01
1158,Passaic County,6918,37715,303700,Census Tract 1756.02
1197,Passaic County,3960,105165,301700,Census Tract 1964.01
1159,Passaic County,4958,44306,299800,Census Tract 1757.01
1139,Passaic County,4914,63568,299100,Census Tract 1248
1155,Passaic County,5345,21758,294300,Census Tract 1754.02
1136,Passaic County,5243,47500,291800,Census Tract 1246.01
1194,Passaic County,3038,51188,290800,Census Tract 1831.01
1198,Passaic County,7203,89539,289700,Census Tract 1964.02
1135,Passaic County,5978,52557,288800,Census Tract 1245
1140,Passaic County,5449,53796,287500,Census Tract 1249
1138,Passaic County,6144,68000,287400,Census Tract 1247
1154,Passaic County,5577,29830,286500,Census Tract 1754.01
1219,Passaic County,3786,103011,283800,Census Tract 2568.02
1217,Passaic County,5019,69604,278300,Census Tract 2463
1144,Passaic County,3028,62679,276600,Census Tract 1337.02
1141,Passaic County,6838,50574,275700,Census Tract 1250
1191,Passaic County,3790,24432,275000,Census Tract 1828
1189,Passaic County,4961,49333,273100,Census Tract 1826
1187,Passaic County,4927,40781,271000,Census Tract 1824
1193,Passaic County,7135,33164,269100,Census Tract 1830
1142,Passaic County,4153,45893,266700,Census Tract 1251
1156,Passaic County,7580,40058,263600,Census Tract 1755
1205,Passaic County,4608,76190,260200,Census Tract 2366.01
1174,Passaic County,7213,37357,260100,Census Tract 1811
1218,Passaic County,5481,91544,258500,Census Tract 2568.01
1184,Passaic County,3405,23850,257800,Census Tract 1822
1185,Passaic County,1572,23796,252800,Census Tract 1823.01
1199,Passaic County,5919,54009,249800,Census Tract 2036
1190,Passaic County,7059,40598,249400,Census Tract 1827
1143,Passaic County,5371,69632,248700,Census Tract 1337.01
1183,Passaic County,3702,26630,245300,Census Tract 1821
1186,Passaic County,6582,31500,244900,Census Tract 1823.02
1153,Passaic County,5129,26697,242400,Census Tract 1753.02
1160,Passaic County,4655,52039,241700,Census Tract 1757.03
1175,Passaic County,4833,32109,241100,Census Tract 1812
1173,Passaic County,4350,36841,238500,Census Tract 1810
1171,Passaic County,3132,20067,238400,Census Tract 1808
1179,Passaic County,2800,22471,235500,Census Tract 1817.02
1165,Passaic County,8516,77344,234900,Census Tract 1801
1181,Passaic County,4674,43865,233000,Census Tract 1819
1182,Passaic County,1460,33967,232500,Census Tract 1820
1163,Passaic County,7033,28246,230700,Census Tract 1758.02
1211,Passaic County,2944,75058,230200,Census Tract 2461.02
1180,Passaic County,3241,18102,228100,Census Tract 1818
1220,Passaic County,5081,80441,225500,Census Tract 2568.03
1167,Passaic County,6787,32192,223700,Census Tract 1802.02
1176,Passaic County,4918,26311,221400,Census Tract 1813
1195,Passaic County,4831,41651,202400,Census Tract 1831.02
1177,Passaic County,2485,22784,201400,Census Tract 1814
1166,Passaic County,3222,45833,200000,Census Tract 1802.01
1188,Passaic County,9299,51512,199100,Census Tract 1825
1172,Passaic County,3617,40685,198900,Census Tract 1809
1168,Passaic County,5743,31163,192600,Census Tract 1803
1169,Passaic County,4560,32277,190900,Census Tract 1806
1192,Passaic County,2279,30690,183300,Census Tract 1829
1170,Passaic County,2427,29130,182400,Census Tract 1807
1178,Passaic County,2731,20434,166700,Census Tract 1815
1151,Passaic County,5299,30821,-666666666,Census Tract 1752
1204,Passaic County,556,-666666666,-666666666,Census Tract 2239
1164,Passaic County,3764,28625,-666666666,Census Tract 1759
