school,location,url
Florida A&M University,Tallahassee,https://en.wikipedia.org/wiki/Florida_A%26M_University
Florida Atlantic University,Boca Raton,https://en.wikipedia.org/wiki/Florida_Atlantic_University
Florida Gulf Coast University,Fort Myers,https://en.wikipedia.org/wiki/Florida_Gulf_Coast_University
Florida International University,Miami,https://en.wikipedia.org/wiki/Florida_International_University
Florida Polytechnic University,Lakeland,https://en.wikipedia.org/wiki/Florida_Polytechnic_University
Florida State University,Tallahassee,https://en.wikipedia.org/wiki/Florida_State_University
New College of Florida,Sarasota,https://en.wikipedia.org/wiki/New_College_of_Florida
University of Central Florida,Orlando,https://en.wikipedia.org/wiki/University_of_Central_Florida
University of Florida,Gainesville,https://en.wikipedia.org/wiki/University_of_Florida
University of North Florida,Jacksonville,https://en.wikipedia.org/wiki/University_of_North_Florida
University of South Florida,Tampa,https://en.wikipedia.org/wiki/University_of_South_Florida
University of West Florida,Pensacola,https://en.wikipedia.org/wiki/University_of_West_Florida
